study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB28097	SAMEA4844406	ERX2762180	ERR2749126	256318	metagenome	9859533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749126/ERR2749126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749126/ERR2749126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749126/170523_NS500640_0168_AHFCVTBGX2_C2_S11_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749126/170523_NS500640_0168_AHFCVTBGX2_C2_S11_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/006/ERR2749126
PRJEB28097	SAMEA4844407	ERX2762181	ERR2749127	256318	metagenome	9833311	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749127/ERR2749127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749127/ERR2749127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749127/170523_NS500640_0168_AHFCVTBGX2_D2_S12_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749127/170523_NS500640_0168_AHFCVTBGX2_D2_S12_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/007/ERR2749127
PRJEB28097	SAMEA4844408	ERX2762182	ERR2749128	256318	metagenome	8963873	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749128/ERR2749128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749128/ERR2749128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749128/170523_NS500640_0168_AHFCVTBGX2_E2_S13_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749128/170523_NS500640_0168_AHFCVTBGX2_E2_S13_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/008/ERR2749128
PRJEB28097	SAMEA4844409	ERX2762183	ERR2749129	256318	metagenome	11924535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749129/ERR2749129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749129/ERR2749129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749129/170523_NS500640_0168_AHFCVTBGX2_F2_S14_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749129/170523_NS500640_0168_AHFCVTBGX2_F2_S14_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/009/ERR2749129
PRJEB28097	SAMEA4844410	ERX2762184	ERR2749130	256318	metagenome	7200816	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749130/ERR2749130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749130/ERR2749130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749130/170523_NS500640_0168_AHFCVTBGX2_G1_S7_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749130/170523_NS500640_0168_AHFCVTBGX2_G1_S7_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/000/ERR2749130
PRJEB28097	SAMEA4844411	ERX2762185	ERR2749131	256318	metagenome	9313603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749131/ERR2749131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749131/ERR2749131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749131/170523_NS500640_0168_AHFCVTBGX2_H1_S8_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749131/170523_NS500640_0168_AHFCVTBGX2_H1_S8_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/001/ERR2749131
PRJEB28097	SAMEA4844412	ERX2762186	ERR2749132	256318	metagenome	11367023	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749132/ERR2749132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749132/ERR2749132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749132/161001_NS500640_0115_AHGTCTBGXY_E1_S5_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749132/161001_NS500640_0115_AHGTCTBGXY_E1_S5_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/002/ERR2749132
PRJEB28097	SAMEA4844413	ERX2762187	ERR2749133	256318	metagenome	5182055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749133/ERR2749133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749133/ERR2749133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749133/161001_NS500640_0115_AHGTCTBGXY_F5_S38_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749133/161001_NS500640_0115_AHGTCTBGXY_F5_S38_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/003/ERR2749133
PRJEB28097	SAMEA4844414	ERX2762188	ERR2749134	256318	metagenome	12802535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749134/ERR2749134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749134/ERR2749134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749134/161001_NS500640_0115_AHGTCTBGXY_B1_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749134/161001_NS500640_0115_AHGTCTBGXY_B1_S2_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/004/ERR2749134
PRJEB28097	SAMEA4844415	ERX2762189	ERR2749135	256318	metagenome	7717605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749135/ERR2749135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749135/ERR2749135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749135/160919_NS500640_0109_AHLTC2BGXY_G10_S79_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749135/160919_NS500640_0109_AHLTC2BGXY_G10_S79_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/005/ERR2749135
PRJEB28097	SAMEA4844416	ERX2762190	ERR2749136	256318	metagenome	4564227	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749136/ERR2749136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749136/ERR2749136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749136/161001_NS500640_0115_AHGTCTBGXY_A2_S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749136/161001_NS500640_0115_AHGTCTBGXY_A2_S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/006/ERR2749136
PRJEB28097	SAMEA4844417	ERX2762191	ERR2749137	256318	metagenome	3564524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749137/ERR2749137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749137/ERR2749137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749137/161001_NS500640_0115_AHGTCTBGXY_E5_S37_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749137/161001_NS500640_0115_AHGTCTBGXY_E5_S37_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/007/ERR2749137
PRJEB28097	SAMEA4844418	ERX2762192	ERR2749138	256318	metagenome	4315339	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749138/ERR2749138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749138/ERR2749138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749138/161001_NS500640_0115_AHGTCTBGXY_G3_S23_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749138/161001_NS500640_0115_AHGTCTBGXY_G3_S23_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/008/ERR2749138
PRJEB28097	SAMEA4844419	ERX2762193	ERR2749139	256318	metagenome	18526840	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749139/ERR2749139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749139/ERR2749139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749139/161002_NS500640_0116_AHL3MJBGXY_D3_S20_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749139/161002_NS500640_0116_AHL3MJBGXY_D3_S20_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/009/ERR2749139
PRJEB28097	SAMEA4844420	ERX2762194	ERR2749140	256318	metagenome	9055132	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749140/ERR2749140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749140/ERR2749140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749140/161002_NS500640_0116_AHL3MJBGXY_E3_S21_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749140/161002_NS500640_0116_AHL3MJBGXY_E3_S21_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/000/ERR2749140
PRJEB28097	SAMEA4844421	ERX2762195	ERR2749141	256318	metagenome	3106457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749141/ERR2749141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749141/ERR2749141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749141/161001_NS500640_0115_AHGTCTBGXY_B4_S26_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749141/161001_NS500640_0115_AHGTCTBGXY_B4_S26_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/001/ERR2749141
PRJEB28097	SAMEA4844422	ERX2762196	ERR2749142	256318	metagenome	2985850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749142/ERR2749142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749142/ERR2749142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749142/161001_NS500640_0115_AHGTCTBGXY_D4_S28_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749142/161001_NS500640_0115_AHGTCTBGXY_D4_S28_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/002/ERR2749142
PRJEB28097	SAMEA4844423	ERX2762197	ERR2749143	256318	metagenome	8191520	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749143/ERR2749143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749143/ERR2749143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749143/161002_NS500640_0116_AHL3MJBGXY_G2_S15_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749143/161002_NS500640_0116_AHL3MJBGXY_G2_S15_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/003/ERR2749143
PRJEB28097	SAMEA4844424	ERX2762198	ERR2749144	256318	metagenome	21324630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749144/ERR2749144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749144/ERR2749144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749144/161002_NS500640_0116_AHL3MJBGXY_B3_S18_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749144/161002_NS500640_0116_AHL3MJBGXY_B3_S18_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/004/ERR2749144
PRJEB28097	SAMEA4844425	ERX2762199	ERR2749145	256318	metagenome	27900525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749145/ERR2749145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749145/ERR2749145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749145/161002_NS500640_0116_AHL3MJBGXY_C3_S19_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749145/161002_NS500640_0116_AHL3MJBGXY_C3_S19_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/005/ERR2749145
PRJEB28097	SAMEA4844426	ERX2762200	ERR2749146	256318	metagenome	8388320	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749146/ERR2749146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749146/ERR2749146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749146/161002_NS500640_0116_AHL3MJBGXY_H2_S16_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749146/161002_NS500640_0116_AHL3MJBGXY_H2_S16_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/006/ERR2749146
PRJEB28097	SAMEA4844427	ERX2762201	ERR2749147	256318	metagenome	17639329	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749147/ERR2749147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749147/ERR2749147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749147/161002_NS500640_0116_AHL3MJBGXY_A3_S17_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749147/161002_NS500640_0116_AHL3MJBGXY_A3_S17_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/007/ERR2749147
PRJEB28097	SAMEA4844428	ERX2762202	ERR2749148	256318	metagenome	14493933	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749148/ERR2749148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749148/ERR2749148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749148/160919_NS500640_0109_AHLTC2BGXY_A9_S65_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749148/160919_NS500640_0109_AHLTC2BGXY_A9_S65_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/008/ERR2749148
PRJEB28097	SAMEA4844429	ERX2762203	ERR2749149	256318	metagenome	6299192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749149/ERR2749149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749149/ERR2749149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749149/161001_NS500640_0115_AHGTCTBGXY_B3_S18_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749149/161001_NS500640_0115_AHGTCTBGXY_B3_S18_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/009/ERR2749149
PRJEB28097	SAMEA4844430	ERX2762204	ERR2749150	256318	metagenome	6726040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749150/ERR2749150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749150/ERR2749150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749150/161001_NS500640_0115_AHGTCTBGXY_G2_S15_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749150/161001_NS500640_0115_AHGTCTBGXY_G2_S15_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/000/ERR2749150
PRJEB28097	SAMEA4844431	ERX2762205	ERR2749151	256318	metagenome	5666244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749151/ERR2749151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749151/ERR2749151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749151/161001_NS500640_0115_AHGTCTBGXY_H4_S32_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749151/161001_NS500640_0115_AHGTCTBGXY_H4_S32_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/001/ERR2749151
PRJEB28097	SAMEA4844432	ERX2762206	ERR2749152	256318	metagenome	2416571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749152/ERR2749152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749152/ERR2749152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749152/161001_NS500640_0115_AHGTCTBGXY_B5_S34_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749152/161001_NS500640_0115_AHGTCTBGXY_B5_S34_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/002/ERR2749152
PRJEB28097	SAMEA4844433	ERX2762207	ERR2749153	256318	metagenome	4893702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749153/ERR2749153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749153/ERR2749153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749153/161001_NS500640_0115_AHGTCTBGXY_D3_S20_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749153/161001_NS500640_0115_AHGTCTBGXY_D3_S20_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/003/ERR2749153
PRJEB28097	SAMEA4844434	ERX2762208	ERR2749154	256318	metagenome	3492068	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749154/ERR2749154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749154/ERR2749154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749154/161001_NS500640_0115_AHGTCTBGXY_F2_S14_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749154/161001_NS500640_0115_AHGTCTBGXY_F2_S14_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/004/ERR2749154
