Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Source_material_ID,SRA Study
SRR9224014,WGS,192,3908469179,PRJNA544527,SAMN11950481,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2666962422,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-11-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994829,USA,North America,USA:Boston,Homo sapiens,bw,Illumina HiSeq 2500,42.36 N 71.06 W,bw-0033_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bw-0033_MG,bw-0033_MG,SRP200548
SRR9224015,WGS,191,3921635521,PRJNA544527,SAMN11950482,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2657301214,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-09-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994828,USA,North America,USA:Boston,Homo sapiens,bx,Illumina HiSeq 2500,42.36 N 71.06 W,bx-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bx-0001_MG,bx-0001_MG,SRP200548
SRR9224016,WGS,190,3206456626,PRJNA544527,SAMN11950483,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2201135594,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994827,USA,North America,USA:Boston,Homo sapiens,bx,Illumina HiSeq 2500,42.36 N 71.06 W,bx-0057_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bx-0057_MG,bx-0057_MG,SRP200548
SRR9224017,WGS,191,1571291331,PRJNA544527,SAMN11950369,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",954732030,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994826,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0029_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0029_MG,ao-0029_MG,SRP200548
SRR9224018,WGS,191,1522114513,PRJNA544527,SAMN11950368,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",926067290,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-24,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994825,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0028_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0028_MG,ao-0028_MG,SRP200548
SRR9224019,WGS,188,971254044,PRJNA544527,SAMN11950361,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",577150135,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994824,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0014_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0014_MG,ao-0014_MG,SRP200548
SRR9224020,WGS,194,1651752572,PRJNA544527,SAMN11950360,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",985453365,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994823,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0013_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0013_MG,ao-0013_MG,SRP200548
SRR9224021,WGS,193,1078287532,PRJNA544527,SAMN11950363,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",636401979,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994822,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0016_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0016_MG,ao-0016_MG,SRP200548
SRR9224022,WGS,192,1107511653,PRJNA544527,SAMN11950362,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",664006918,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994821,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0015_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0015_MG,ao-0015_MG,SRP200548
SRR9224023,WGS,192,1186467517,PRJNA544527,SAMN11950365,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",701373676,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994820,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0025_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0025_MG,ao-0025_MG,SRP200548
SRR9224024,WGS,194,1311940818,PRJNA544527,SAMN11950364,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",791712241,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994819,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0017_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0017_MG,ao-0017_MG,SRP200548
SRR9224025,WGS,190,1710405905,PRJNA544527,SAMN11950367,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1039078828,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-23,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994818,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0027_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0027_MG,ao-0027_MG,SRP200548
SRR9224026,WGS,194,1938929028,PRJNA544527,SAMN11950366,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1158415044,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994817,USA,North America,USA:Boston,Homo sapiens,ao,Illumina HiSeq 2500,42.36 N 71.06 W,ao-0026_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ao-0026_MG,ao-0026_MG,SRP200548
SRR9224027,WGS,194,3594174483,PRJNA544527,SAMN11950078,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2453569261,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-06,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994816,USA,North America,USA:Boston,Homo sapiens,ak,Illumina HiSeq 2500,42.36 N 71.06 W,ak-0010_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ak-0010_MG,ak-0010_MG,SRP200548
SRR9224028,WGS,192,4277380463,PRJNA544527,SAMN11950079,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2867743219,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-12-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994815,USA,North America,USA:Boston,Homo sapiens,al,Illumina HiSeq 2500,42.36 N 71.06 W,al-0002_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,al-0002_MG,al-0002_MG,SRP200548
SRR9224029,WGS,187,6051721147,PRJNA544527,SAMN11950070,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4090045014,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-11-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994814,USA,North America,USA:Boston,Homo sapiens,ag,Illumina HiSeq 2500,42.36 N 71.06 W,ag-0005_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ag-0005_MG,ag-0005_MG,SRP200548
SRR9224030,WGS,188,5408777466,PRJNA544527,SAMN11950071,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3758726159,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-11-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994813,USA,North America,USA:Boston,Homo sapiens,ah,Illumina HiSeq 2500,42.36 N 71.06 W,ah-0002_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ah-0002_MG,ah-0002_MG,SRP200548
SRR9224031,WGS,189,5465669177,PRJNA544527,SAMN11950072,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3746683728,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994812,USA,North America,USA:Boston,Homo sapiens,ah,Illumina HiSeq 2500,42.36 N 71.06 W,ah-0028_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ah-0028_MG,ah-0028_MG,SRP200548
SRR9224032,WGS,187,3912215530,PRJNA544527,SAMN11950073,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2710694440,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-11-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994811,USA,North America,USA:Boston,Homo sapiens,ai,Illumina HiSeq 2500,42.36 N 71.06 W,ai-0002_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ai-0002_MG,ai-0002_MG,SRP200548
SRR9224033,WGS,189,4742801352,PRJNA544527,SAMN11950074,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3256445498,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-12-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994810,USA,North America,USA:Boston,Homo sapiens,ai,Illumina HiSeq 2500,42.36 N 71.06 W,ai-0019_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ai-0019_MG,ai-0019_MG,SRP200548
SRR9224034,WGS,193,4771184799,PRJNA544527,SAMN11950075,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3225561772,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-11-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994809,USA,North America,USA:Boston,Homo sapiens,aj,Illumina HiSeq 2500,42.36 N 71.06 W,aj-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,aj-0001_MG,aj-0001_MG,SRP200548
SRR9224035,WGS,195,1959826110,PRJNA544527,SAMN11950076,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1326926389,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-03-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994808,USA,North America,USA:Boston,Homo sapiens,aj,Illumina HiSeq 2500,42.36 N 71.06 W,aj-0061_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,aj-0061_MG,aj-0061_MG,SRP200548
SRR9224036,WGS,193,4752994608,PRJNA544527,SAMN11950077,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3228977852,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-11-13,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994807,USA,North America,USA:Boston,Homo sapiens,ak,Illumina HiSeq 2500,42.36 N 71.06 W,ak-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ak-0001_MG,ak-0001_MG,SRP200548
SRR9224037,WGS,188,1064869646,PRJNA544527,SAMN11950153,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",666845916,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-07-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994806,USA,North America,USA:Boston,Homo sapiens,am,Illumina HiSeq 2500,42.36 N 71.06 W,am-0091_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,am-0091_MG,am-0091_MG,SRP200548
SRR9224038,WGS,197,1578758757,PRJNA544527,SAMN11950541,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1000694367,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-03-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994805,USA,North America,USA:Boston,Homo sapiens,db,Illumina HiSeq 2500,42.36 N 71.06 W,db-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,db-0001_MG,db-0001_MG,SRP200548
SRR9224039,WGS,199,1533659267,PRJNA544527,SAMN11950540,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",973461064,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-04-25,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994804,USA,North America,USA:Boston,Homo sapiens,da,Illumina HiSeq 2500,42.36 N 71.06 W,da-0044_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,da-0044_MG,da-0044_MG,SRP200548
SRR9224040,WGS,199,1180197026,PRJNA544527,SAMN11950534,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",750179418,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-13,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994803,USA,North America,USA:Boston,Homo sapiens,cy,Illumina HiSeq 2500,42.36 N 71.06 W,cy-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,cy-0001_MG,cy-0001_MG,SRP200548
SRR9224041,WGS,199,1530159552,PRJNA544527,SAMN11950535,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",968106243,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-03-27,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994802,USA,North America,USA:Boston,Homo sapiens,cy,Illumina HiSeq 2500,42.36 N 71.06 W,cy-0019_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,cy-0019_MG,cy-0019_MG,SRP200548
SRR9224042,WGS,198,1519405832,PRJNA544527,SAMN11950536,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",968294957,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-05-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994801,USA,North America,USA:Boston,Homo sapiens,cy,Illumina HiSeq 2500,42.36 N 71.06 W,cy-0037_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,cy-0037_MG,cy-0037_MG,SRP200548
SRR9224043,WGS,199,1297672973,PRJNA544527,SAMN11950537,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",836565101,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994800,USA,North America,USA:Boston,Homo sapiens,cz,Illumina HiSeq 2500,42.36 N 71.06 W,cz-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,cz-0001_MG,cz-0001_MG,SRP200548
